rf_n_estimators,rf_max_depth,rf_min_samples_leaf,ml_target_exposure,hmm_n_states,ml_threshold_used,train_avg_exposure,test_avg_exposure,train_total_return,train_annualized_return,train_annualized_volatility,train_sharpe_ratio,train_max_drawdown,test_total_return,test_annualized_return,test_annualized_volatility,test_sharpe_ratio,test_max_drawdown
200,6,80,0.1,2,0.4576843542772713,0.0999999999999031,0.07643418304169335,0.04525395207766292,0.004428751039497358,0.001945252470152448,2.276697296341323,-0.0018893769963818003,0.017220833769592048,0.00212390290107356,0.0017269370503305817,1.229867006829802,-0.002052875808746034
400,4,80,0.1,4,0.45875767563779846,0.09999999999967123,0.07770925488858713,0.04127043327714719,0.004045907365300749,0.0016385196188236412,2.46924560366599,-0.0017506622590253789,0.016859522645878755,0.0020796656988375517,0.001691944177990233,1.2291573953154127,-0.0024059377191037253
400,6,20,0.2,2,0.3867009223053628,0.20000000000005322,0.17770770282810044,0.08583260079368493,0.00825554705574838,0.003693313671378919,2.2352683227867094,-0.0034771403429730515,0.032895106617938374,0.004029864382448567,0.0032824546125585097,1.227698432456767,-0.00483211522410506
400,4,40,0.1,4,0.46057770218453686,0.09999999999994981,0.07876556812582662,0.03923982775018997,0.0038502445599502,0.0016467155839724483,2.3381357396655447,-0.0021344148887451815,0.01650033110162563,0.00203567436132035,0.0016589023357343915,1.2271212822297717,-0.00260855544526581
400,8,20,0.2,2,0.3870910237458065,0.19999999999953072,0.17630142037618896,0.08955235828330355,0.008599869141524108,0.004008427664345418,2.1454470085662574,-0.0035461451378164272,0.03306235406645319,0.004050064398403164,0.0033077665367672615,1.2244105965112528,-0.004958167939011502
200,6,20,0.15,2,0.4245936024242746,0.1500000000002444,0.12881404095856577,0.06408480224066304,0.006220935136475481,0.0029524254268542462,2.1070591927206674,-0.0028510417244124214,0.025159235629981902,0.00309238697590275,0.0025262276807725675,1.2241125372187516,-0.0037679331954802056
200,6,40,0.15,2,0.4246017890063467,0.15000000000033928,0.1273312669134656,0.06556527500132137,0.006360622435172436,0.002829312889668602,2.2481155966873136,-0.0028777768165577163,0.02567462010379029,0.0031550365241803657,0.002579371751547295,1.2231802268470007,-0.0035771083808647376
200,6,20,0.1,2,0.459724548621116,0.09999999999958024,0.0808518657783451,0.04395851690332364,0.004304395090194202,0.002175996634137869,1.9781258034434441,-0.00221529859410678,0.017748359462363528,0.0021884659132005435,0.0017899237386419739,1.2226587457077618,-0.002491150994580806
400,6,40,0.2,2,0.38656275696956965,0.2000000000000952,0.17604669106860169,0.08614547294661046,0.008284549161307275,0.003606570923545146,2.2970709122125963,-0.0034565176308270834,0.03354167866470492,0.004107940986780578,0.0033600500160549792,1.2225832851154088,-0.00490396230769358
200,4,40,0.1,4,0.46055721187759435,0.09999999999993035,0.07815949206249098,0.03953059907594736,0.003878283476611344,0.0016612266560028822,2.3345902033278083,-0.0021169993182732043,0.016742899880550777,0.0020653840277973234,0.0016910808803509334,1.2213395892505832,-0.0025853539400064345
